,Unnamed: 0,sys/id,parameters/batch_size,parameters/beta1,parameters/beta2,parameters/connect_to_project,parameters/cutout_count,parameters/cutout_max_size,parameters/cutout_min_size,parameters/device,parameters/dropout,parameters/epochs,parameters/gamma,parameters/jitter_brightness,parameters/jitter_contrast,parameters/jitter_hue,parameters/jitter_saturation,parameters/lr,parameters/lr_scheduler,parameters/max_lr,parameters/model,parameters/nu1,parameters/nu2,parameters/optimizer,parameters/per_alpha,parameters/per_beta,parameters/perspective_distortion,parameters/plot_interval,parameters/project_name,parameters/register_run,parameters/test,parameters/train,parameters/use_per,parameters/val,parameters/wd,train/val_acc,train/val_loss
25,25,CNN-92,,0.9,0.999,,,,,,0.1,50.0,0.9,,,,,0.002,,,,0.7,1.0,,,,,,,,,,,,1e-06,,
26,26,CNN-234,500.0,0.9,0.999,,,,,cuda,0.1,50.0,,,,,,0.0001,OneCycleLR,0.001,WideResnet50(10),0.7,1.0,QHAdam,,,,10.0,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,,
27,27,CNN-23,,0.9,0.999,,,,,,0.1,50.0,0.95,,,,,0.01,,,,1.0,1.0,,,,,,,,,,,,1e-06,,
28,28,CNN-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1903,2.2929263798294555
29,29,CNN-113,,0.9,0.999,,,,,,0.1,50.0,0.9,,,,,0.002,,,,0.7,1.0,,,,,,,,,,,,1e-06,,
30,30,CNN-281,100.0,0.9,0.999,True,,,,cuda,0.1,200.0,,,,,,0.001,,,M7(),0.7,1.0,QHAdam,0.6,0.6,,100.0,mlxa/CNN,True,None,train_v1.bin,True,val_v2.bin,1e-06,,
31,31,CNN-116,,0.9,0.999,,,,,,0.1,50.0,0.9,,,,,0.002,,,,0.7,1.0,,,,,,,,,,,,1e-06,,
32,32,CNN-224,2000.0,0.9,0.999,,,,,cuda,0.1,20.0,,,,,,0.0001,OneCycleLR,0.001,"load_from_zoo(""M5()_61ead66d_9.p"")",0.7,1.0,QHAdam,,,,5.0,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,0.849000096321106,0.7143782377243042
33,33,CNN-354,1024.0,0.9,0.999,True,0.0,14.0,8.0,cuda,,2.0,,0.0,0.0486126355826854,0.0322593189775943,0.0160908624529838,0.0060614438178105,,,M7(),0.3275313973426819,0.939680814743042,QHAdam,,,0.0,4.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0026141657843397,0.555367112159729,1.3906701803207395
34,34,CNN-289,100.0,0.9,0.999,True,,,,cuda,0.1,200.0,,,,,,0.0001,,,load_from_zoo('M7()_61ee9f5f_24.p'),0.7,1.0,QHAdam,0.5,0.5,,100.0,mlxa/CNN,True,None,train_v1.bin,True,val_v1.bin,1e-06,0.9309999346733092,0.2926750481128692
35,35,CNN-70,,0.9,0.999,,,,,,0.1,50.0,0.9,,,,,0.002,,,,0.7,1.0,,,,,,,,,,,,1e-06,,
36,36,CNN-208,64.0,0.9,0.999,,,,,cuda,0.1,50.0,,,,,,0.002,OneCycleLR,1.0,M3(),0.7,1.0,QHAdam,,,,,mlxa/CNN,True,test_v2.bin,train_v2.bin,,val_v2.bin,1e-06,0.1500928699970245,2.367672920227051
37,37,CNN-221,2000.0,0.9,0.999,,,,,cuda,0.1,10.0,,,,,,0.0001,OneCycleLR,0.001,M5(),0.7,1.0,QHAdam,,,,5.0,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,,
38,38,CNN-343,32.0,0.9,0.999,True,0.0,0.0,0.0,cuda,,2.0,,0.0788385048508644,0.0066309138201177,0.0,0.0,8.461239099117543e-05,,,Resnet18(10),0.4897577166557312,1.0,QHAdam,,,0.0328892581164836,125.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0003028576886611,0.8428514003753662,0.5174896717071533
39,39,CNN-310,1024.0,0.9,0.999,True,0.0,0.0,0.0,cuda,,2.0,,0.0,0.0,0.0,0.0158013086766004,0.0004691310868815,,,M7(),0.5451366901397705,0.9259193539619446,QHAdam,,,0.0,4.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,2.168508539024294e-06,0.8223055005073547,0.8580700159072876
40,40,CNN-328,32.0,0.9,0.999,True,1.0,17.0,9.0,cuda,,2.0,,0.0,0.0817458108067512,0.0456181056797504,0.0183097999542951,5.767166452860676e-05,,,M5(),0.475614070892334,0.9502015113830566,QHAdam,,,0.0,125.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0036858982366361,0.8481429815292358,0.6137194633483887
41,41,CNN-272,500.0,0.9,0.999,,,,,cuda,0.1,10.0,0.9,,,,,0.0001,ExponentialLR,,"load_from_zoo(""Densenet161(10)_61eb0a80_0.p"")",0.7,1.0,QHAdam,,,,10.0,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,,
