,Unnamed: 0,Unnamed: 0.1,sys/id,parameters/batch_size,parameters/beta1,parameters/beta2,parameters/connect_to_project,parameters/cutout_count,parameters/cutout_max_size,parameters/cutout_min_size,parameters/device,parameters/dropout,parameters/epochs,parameters/gamma,parameters/jitter_brightness,parameters/jitter_contrast,parameters/jitter_hue,parameters/jitter_saturation,parameters/lr,parameters/lr_scheduler,parameters/max_lr,parameters/model,parameters/nu1,parameters/nu2,parameters/optimizer,parameters/per_alpha,parameters/per_beta,parameters/perspective_distortion,parameters/plot_interval,parameters/project_name,parameters/register_run,parameters/test,parameters/train,parameters/use_per,parameters/val,parameters/wd,train/val_acc,train/val_loss
310,310,316,CNN-308,1024.0,0.9,0.999,True,2.0,8.0,4.0,cuda,,2.0,,0.0,0.0651298910379409,0.0,0.0,0.0036524570311215,,,M7(),0.3791994452476501,1.0,QHAdam,,,0.0607653856277465,4.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0023264066408171,0.4719766676425934,1.6052979230880735
311,311,317,CNN-320,128.0,0.9,0.999,True,1.0,2.0,0.0,cuda,,2.0,,0.1957800984382629,0.0,0.0,0.0099316444247961,0.0006796214006975,,,M7(),0.6311416029930115,0.8604521751403809,QHAdam,,,0.0,32.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,4.297047237037266e-06,0.8947784900665283,0.4543951749801636
317,317,323,CNN-365,256.0,0.9,0.999,True,1.0,14.0,11.0,cuda,,2.0,,0.0196904260665178,0.0340745486319065,0.0,0.0,0.0019567308219706,,,M7(),0.4581373929977417,1.0,QHAdam,,,0.0206737425178289,16.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0001864554347351,0.8392578363418579,0.5581548810005188
322,322,328,CNN-359,512.0,0.9,0.999,True,0.0,0.0,0.0,cuda,,2.0,,0.0942006185650825,0.0111582614481449,0.0,0.1297451108694076,0.0049332905240895,,,Resnet18(10),0.4864488840103149,1.0,QHAdam,,,0.0,8.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0005808182202422,0.4361557960510254,3.002947330474853
324,324,330,CNN-347,32.0,0.9,0.999,True,0.0,15.0,6.0,cuda,,2.0,,0.0,0.0110627440735697,0.027527991682291,0.0439855642616748,0.0051415706753558,,,M7(),0.2949846684932709,0.8,QHAdam,,,0.1112431660294532,125.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.4357103197185813e-05,0.8863817453384399,0.3884295225143432
333,333,339,CNN-364,512.0,0.9,0.999,True,0.0,7.0,3.0,cuda,,2.0,,0.0,0.1541651338338852,0.0,0.0,0.0003645884145681,,,M5(),0.7205780744552612,0.9144394397735596,QHAdam,,,0.0,8.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0002393989588014,0.8761488795280457,0.6860443949699402
338,338,344,CNN-319,128.0,0.9,0.999,True,1.0,13.0,7.0,cuda,,2.0,,0.0,0.0677809864282608,0.0,0.0,0.0059943539860394,,,Resnet18(10),0.2522998452186584,0.8899053931236267,QHAdam,,,0.0,32.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0005640213796604,0.7847112417221069,0.7062179446220398
341,341,347,CNN-330,1024.0,0.9,0.999,True,0.0,13.0,7.0,cuda,,2.0,,0.0,0.0,0.0886056423187255,0.0,0.0012662807436276,,,Resnet18(10),0.6676597595214844,1.0,QHAdam,,,0.0259543806314468,4.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0001529575044496,0.6436583399772644,1.1087607145309448
348,348,354,CNN-297,64.0,0.9,0.999,True,0.0,14.0,8.0,cuda,,2.0,,0.0,0.0,0.0,0.1670540571212768,0.0156443153159842,,,M7(),0.2601062655448913,1.0,QHAdam,,,0.0,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,2.170845491245576e-05,0.8772889971733093,0.4140443205833435
350,350,356,CNN-311,512.0,0.9,0.999,True,0.0,0.0,0.0,cuda,,2.0,,0.0148371923714876,0.0,0.1338623315095901,0.0701641291379928,0.0058377867456694,,,M7(),0.3851609230041504,1.0,QHAdam,,,0.1041983515024185,8.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0009874154579477,0.4735753536224365,1.9536088705062864
351,351,357,CNN-323,128.0,0.9,0.999,True,0.0,5.0,5.0,cuda,,2.0,,0.1254421323537826,0.0,0.0,0.0,0.0003953157281929,,,M7(),0.4445048868656158,1.0,QHAdam,,,0.1598219722509384,32.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,6.622399221015774e-05,0.8723299503326416,0.56768399477005
353,353,359,CNN-355,256.0,0.9,0.999,True,0.0,8.0,8.0,cuda,,2.0,,0.0,0.0,0.0,0.0622389130294323,8.760342687972046e-05,,,M7(),0.2586877942085266,1.0,QHAdam,,,0.0,16.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,7.800068682273969e-05,0.8285156488418579,0.8107777833938599
355,355,361,CNN-305,512.0,0.9,0.999,True,0.0,11.0,6.0,cuda,,2.0,,0.0395120494067668,0.0340018980205059,0.0,0.0,9.745686718632876e-05,,,M7(),0.2692583799362182,0.9486035704612732,QHAdam,,,0.0285299103707075,8.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.9938878961538977e-05,0.799724280834198,0.9115967154502868
356,356,362,CNN-314,256.0,0.9,0.999,True,0.0,2.0,1.0,cuda,,2.0,,0.0558406673371791,0.0031955677550286,0.0570751540362834,0.1139826774597168,0.0177148316895013,,,Resnet18(10),0.4775775671005249,1.0,QHAdam,,,0.122720219194889,16.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0002875324259831,0.55126953125,1.3847825527191162
367,367,373,CNN-385,64.0,0.9,0.999,True,0.0,11.0,6.0,cuda,,2.0,,0.0,0.0785000547766685,0.0213223621249198,0.0725375935435295,0.0111643561191827,,,Resnet18(10),0.4305764734745025,1.0,QHAdam,,,0.1455668061971664,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.548724996753581e-06,0.7068073153495789,0.9224902391433716
369,369,375,CNN-370,32.0,0.9,0.999,True,0.0,4.0,2.0,cuda,,2.0,,0.1099488139152526,0.0114133981987833,0.0147610772401094,0.0626169368624687,0.0186798195213744,,,Resnet18(10),0.3358069658279419,0.9938101768493652,QHAdam,,,0.0,125.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.8592371693493984e-05,0.1902955174446106,2.229888200759888
372,372,378,CNN-317,256.0,0.9,0.999,True,0.0,2.0,1.0,cuda,,2.0,,0.0,0.0,0.0610472522675991,0.0,0.000131446606959,,,Resnet18(10),0.8425782918930054,0.809183657169342,QHAdam,,,0.0413001924753189,16.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.000332087396738,0.7958008050918579,0.6372811198234558
