,Unnamed: 0,Unnamed: 0.1,sys/id,parameters/batch_size,parameters/beta1,parameters/beta2,parameters/connect_to_project,parameters/cutout_count,parameters/cutout_max_size,parameters/cutout_min_size,parameters/device,parameters/dropout,parameters/epochs,parameters/gamma,parameters/jitter_brightness,parameters/jitter_contrast,parameters/jitter_hue,parameters/jitter_saturation,parameters/lr,parameters/lr_scheduler,parameters/max_lr,parameters/model,parameters/nu1,parameters/nu2,parameters/optimizer,parameters/per_alpha,parameters/per_beta,parameters/perspective_distortion,parameters/plot_interval,parameters/project_name,parameters/register_run,parameters/test,parameters/train,parameters/use_per,parameters/val,parameters/wd,train/val_acc,train/val_loss
53,53,54,CNN-350,256.0,0.9,0.999,True,0.0,14.0,8.0,cuda,,2.0,,0.0952463075518608,0.0859966427087783,0.0730452015995979,0.0,3.025623842068376e-05,,,M7(),0.5471459031105042,0.9582480788230896,QHAdam,,,0.0,16.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,7.386062384637633e-05,0.7982422113418579,0.9056220054626464
58,58,59,CNN-348,128.0,0.9,0.999,True,0.0,20.0,7.0,cuda,,2.0,,0.1176007017493248,0.0,0.0304103679955005,0.0,0.0163213619250348,,,M5(),0.3685100376605987,1.0,QHAdam,,,0.0334377102553844,32.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0014326114125072,0.7151898741722107,0.9164968729019164
69,69,70,CNN-318,512.0,0.9,0.999,True,0.0,27.0,11.0,cuda,,2.0,,0.0,0.1833646446466446,0.0,0.0,5.286878959053957e-05,,,Resnet18(10),0.3577122092247009,0.9944385290145874,QHAdam,,,0.053793728351593,8.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,3.196817373969649e-05,0.5406135320663452,1.3394618034362793
73,73,74,CNN-324,32.0,0.9,0.999,True,0.0,14.0,9.0,cuda,,2.0,,0.0710292980074882,0.0408828668296337,0.0,0.0,0.0003682233512159,,,M7(),0.297496885061264,0.9233927726745604,QHAdam,,,0.2200426161289215,125.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,5.330272599366356e-06,0.8951677083969116,0.4482217133045196
75,75,76,CNN-300,1024.0,0.9,0.999,True,0.0,6.0,2.0,cuda,,2.0,,0.0,0.0706642568111419,0.0686211660504341,0.0,0.0012657858852738,,,M7(),0.1690069735050201,1.0,QHAdam,,,0.1229720935225486,4.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,3.0809906211466445e-05,0.5613241195678711,1.4575594663619995
82,82,83,CNN-342,1024.0,0.9,0.999,True,0.0,35.0,11.0,cuda,,2.0,,0.0185852814465761,0.0384037755429744,0.0,0.0450761243700981,4.648803959175673e-05,,,M7(),0.3220183849334717,0.8963018655776978,QHAdam,,,0.006869220174849,4.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0025421975913346,0.7482163310050964,1.0153592824935913
85,85,86,CNN-331,512.0,0.9,0.999,True,1.0,5.0,2.0,cuda,,2.0,,0.0,0.0,0.1517456769943237,0.0,0.0002598864975278,,,M5(),0.1637863218784332,1.0,QHAdam,,,0.0,8.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,8.780352727486728e-05,0.7125459909439087,1.0154742002487185
87,87,88,CNN-382,32.0,0.9,0.999,True,0.0,19.0,7.0,cuda,,2.0,,0.1514973640441894,0.0,0.0089080771431326,0.0,0.0005261165603559,,,M5(),0.2236929237842559,1.0,QHAdam,,,0.0,125.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0005615543479451,0.9003593921661377,0.4209162592887878
97,97,98,CNN-384,256.0,0.9,0.999,True,0.0,19.0,7.0,cuda,,2.0,,0.0,0.0,0.0197757575660944,0.0,0.0021443914814634,,,M7(),0.9,1.0,QHAdam,,,0.0,16.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,5.853530798056386e-05,0.89208984375,0.4498291015625
100,100,101,CNN-377,32.0,0.9,0.999,True,0.0,11.0,6.0,cuda,,2.0,,0.0,0.0664603635668754,0.0,0.0,0.0003773195175585,,,Resnet18(10),0.3568018078804016,0.9266674518585204,QHAdam,,,0.0073425970040261,125.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,3.2855764432869065e-05,0.8648163080215454,0.4430824220180511
104,104,105,CNN-321,512.0,0.9,0.999,True,0.0,9.0,4.0,cuda,,2.0,,0.0288379937410354,0.0397919267416,0.0,0.0,0.0036830624077779,,,M5(),0.4383729100227356,0.952683687210083,QHAdam,,,0.0,8.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,4.569104038545888e-05,0.7021771669387817,1.0047250986099243
109,109,110,CNN-383,512.0,0.9,0.999,True,0.0,7.0,3.0,cuda,,2.0,,0.1122048497200012,0.0302824433892965,0.0,0.0,0.000987611706938,,,M7(),0.7539322376251221,1.0,QHAdam,,,0.0,8.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,3.2781967363001514e-05,0.7347139716148376,0.996662437915802
113,113,114,CNN-366,256.0,0.9,0.999,True,0.0,17.0,9.0,cuda,,2.0,,0.0,0.0021091939415782,0.0654763877391815,0.0,0.0010089037698109,,,M5(),0.4331353306770324,1.0,QHAdam,,,0.0,16.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,8.995054745492565e-05,0.83154296875,0.7193006277084351
115,115,116,CNN-335,128.0,0.9,0.999,True,2.0,15.0,7.0,cuda,,2.0,,0.0,0.0,0.0098899779841303,0.0403234027326107,0.0124834006047006,,,M7(),0.5222955942153931,0.9253250360488892,QHAdam,,,0.0323475711047649,32.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0007105824470397,0.6161985993385315,1.230231523513794
116,116,117,CNN-373,512.0,0.9,0.999,True,0.0,12.0,4.0,cuda,,2.0,,0.0,0.0,0.0,0.0,0.0002721073701169,,,Resnet18(10),0.5135887861251831,0.8860825896263123,QHAdam,,,0.0,8.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,9.37028161908088e-05,0.787028968334198,0.6582610607147217
118,118,119,CNN-322,128.0,0.9,0.999,True,0.0,8.0,4.0,cuda,,2.0,,0.0,0.2336771935224533,0.0,0.073565773665905,0.0025242813367234,,,Resnet18(10),0.6009762287139893,1.0,QHAdam,,,0.1522990316152572,32.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0002199313112818,0.8672864437103271,0.4353737831115722
120,120,121,CNN-309,128.0,0.9,0.999,True,0.0,17.0,5.0,cuda,,2.0,,0.0,0.0682143121957779,0.0,0.0,0.0046266714413954,,,Resnet18(10),0.4049705862998962,0.9759841561317444,QHAdam,,,0.0,32.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0002102665159855,0.7135087251663208,0.90190988779068
129,129,130,CNN-341,256.0,0.9,0.999,True,0.0,9.0,5.0,cuda,,2.0,,0.099015787243843,0.0,0.0206781756132841,0.1457663029432296,0.0001468153321193,,,M7(),0.8518903255462646,0.8,QHAdam,,,0.010577174834907,16.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0002080450726812,0.8802734613418579,0.6518964767456055
132,132,133,CNN-346,128.0,0.9,0.999,True,0.0,8.0,3.0,cuda,,2.0,,0.0193863119930028,0.0,0.0049593267031013,0.0,0.0001387642898976,,,M5(),0.5899543166160583,1.0,QHAdam,,,0.0,32.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,2.9369461567944204e-05,0.8900316953659058,0.6456335783004761
142,142,144,CNN-361,256.0,0.9,0.999,True,0.0,14.0,7.0,cuda,,2.0,,0.0,0.0185028333216905,0.065028466284275,0.0,0.009110491298001,,,Resnet18(10),0.1,0.913711428642273,QHAdam,,,0.0647694393992424,16.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,3.6745377465540464e-06,0.69921875,0.924184501171112
162,162,166,CNN-344,64.0,0.9,0.999,True,0.0,6.0,6.0,cuda,,2.0,,0.0,0.0572313442826271,0.0,0.2057749480009079,6.482802781013886e-05,,,M5(),0.7729341983795166,1.0,QHAdam,,,0.0,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,7.293812864649484e-05,0.8841560482978821,0.6481791138648987
164,164,168,CNN-334,512.0,0.9,0.999,True,0.0,30.0,10.0,cuda,,2.0,,0.0,0.0,0.0,0.0,0.0005697697605168,,,Resnet18(10),0.1864185035228729,0.9020223617553712,QHAdam,,,0.0,8.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,2.4795994030888125e-05,0.7051011323928833,0.9269669651985168
171,171,175,CNN-332,64.0,0.9,0.999,True,1.0,5.0,2.0,cuda,,2.0,,0.0,0.0,0.0,0.0877838656306266,0.0010898078688161,,,M5(),0.1100153028964996,0.9017263650894164,QHAdam,,,0.0435957945883274,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,7.432195328809444e-07,0.8793789744377136,0.4813926517963409
175,175,179,CNN-356,128.0,0.9,0.999,True,0.0,15.0,9.0,cuda,,2.0,,0.0,0.0,0.0,0.0,0.0210212500788216,,,M5(),0.3944166302680969,0.9954156875610352,QHAdam,,,0.0343336686491966,32.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.3223327423207832e-06,0.8907239437103271,0.3675224184989929
177,177,181,CNN-327,128.0,0.9,0.999,True,0.0,5.0,2.0,cuda,,2.0,,0.1527017503976822,0.0,0.0559742115437984,0.0005316146998666,0.0008248920056868,,,M5(),0.4653584957122803,0.9867525100708008,QHAdam,,,0.0,32.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.2286439335276335e-06,0.8858782052993774,0.4759665429592132
178,178,182,CNN-329,512.0,0.9,0.999,True,0.0,1.0,0.0,cuda,,2.0,,0.0312559604644775,0.2211291342973709,0.0,0.1380542963743209,0.0003346894251957,,,M5(),0.2418406009674072,1.0,QHAdam,,,0.0597009323537349,8.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0003717673567128,0.716015636920929,1.054197907447815
189,189,193,CNN-301,64.0,0.9,0.999,True,0.0,6.0,4.0,cuda,,2.0,,0.0183390490710735,0.0,0.0221264790743589,0.0660754144191742,0.1,,,Resnet18(10),0.3234680891036987,0.9453732967376708,QHAdam,,,0.0,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.6191485295079767e-06,0.1900875866413116,2.23933744430542
193,193,197,CNN-333,256.0,0.9,0.999,True,0.0,12.0,5.0,cuda,,2.0,,0.0,0.0,0.0,0.0,0.0003757520359276,,,M5(),0.7012745141983032,0.9231321215629578,QHAdam,,,0.0272675547748804,16.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,3.504512928459081e-06,0.889453113079071,0.6321887373924255
