,sys/id,parameters/batch_size,parameters/beta1,parameters/beta2,parameters/connect_to_project,parameters/cutout_count,parameters/cutout_max_size,parameters/cutout_min_size,parameters/device,parameters/dropout,parameters/epochs,parameters/gamma,parameters/jitter_brightness,parameters/jitter_contrast,parameters/jitter_hue,parameters/jitter_saturation,parameters/lr,parameters/lr_scheduler,parameters/max_lr,parameters/model,parameters/nu1,parameters/nu2,parameters/optimizer,parameters/per_alpha,parameters/per_beta,parameters/perspective_distortion,parameters/plot_interval,parameters/project_name,parameters/register_run,parameters/test,parameters/train,parameters/use_per,parameters/val,parameters/wd,train/val_acc,train/val_loss,parameters/tag
161,CNN-451,64.0,0.9,0.999,True,0.0,5.0,4.0,cuda,,5.0,,0.01,0.01,0.01,0.01,0.00046375195479128806,,,M5(),0.25501546263694763,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,8.896706026238982e-06,0.8846536874771118,0.5784475803375244,sweep2
176,CNN-391,64.0,0.9,0.999,True,1.0,10.0,5.0,cuda,,5.0,,0.01,0.01,0.01,0.01,0.00012880328488008554,,,M5(),0.5302987694740295,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,5.192869056105999e-05,0.9208797812461853,0.40592020750045776,sweep2
178,CNN-390,64.0,0.9,0.999,True,0.0,0.0,0.0,cuda,,5.0,,0.01,0.01,0.01,0.01,5.566419141651485e-06,,,M5(),0.35169386863708496,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,3.934340992195792e-06,0.7934912443161011,0.9393258094787598,sweep2
191,CNN-417,64.0,0.9,0.999,True,0.0,8.0,5.0,cuda,,5.0,,0.01,0.01,0.01,0.01,0.001805472355871252,,,M5(),0.549886167049408,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,9.320772422450773e-06,0.9203822016716003,0.2755764424800873,sweep2
195,CNN-418,64.0,0.9,0.999,True,0.0,4.0,2.0,cuda,,5.0,,0.01,0.01,0.01,0.01,0.00023704847193571906,,,M5(),0.3578023910522461,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,8.219465165981508e-05,0.9205812215805054,0.3693242371082306,sweep2
197,CNN-431,64.0,0.9,0.999,True,1.0,6.0,2.0,cuda,,5.0,,0.01,0.01,0.01,0.01,5.0497731153078336e-05,,,M5(),0.5800339579582214,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0008833351397627804,0.9070461988449097,0.5651600360870361,sweep2
198,CNN-430,64.0,0.9,0.999,True,0.0,11.0,6.0,cuda,,5.0,,0.01,0.01,0.01,0.01,0.00023221002551543102,,,M5(),0.5237812995910645,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,5.590852159921503e-05,0.9239649772644043,0.3466920852661133,sweep2
205,CNN-449,64.0,0.9,0.999,True,0.0,20.0,8.0,cuda,,5.0,,0.01,0.01,0.01,0.01,0.0004392657832060647,,,M5(),0.3954565227031708,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,2.3254502531965593e-05,0.8832603693008423,0.582777202129364,sweep2
207,CNN-414,64.0,0.9,0.999,True,0.0,10.0,5.0,cuda,,5.0,,0.01,0.01,0.01,0.01,2.6431685773590446e-05,,,M5(),0.6629337668418884,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,5.1786062893588695e-05,0.8829618096351624,0.6648807525634766,sweep2
217,CNN-433,64.0,0.9,0.999,True,0.0,0.0,0.0,cuda,,5.0,,0.01,0.01,0.01,0.01,8.73808497128502e-05,,,M5(),0.6707386374473572,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,8.203498077595963e-05,0.9212778806686401,0.46716246008872986,sweep2
218,CNN-401,64.0,0.9,0.999,True,0.0,1.0,0.0,cuda,,5.0,,0.01,0.01,0.01,0.01,0.0017291419170500839,,,M5(),0.5537883043289185,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.6844571978511808e-07,0.9295382499694824,0.24751824140548706,sweep2
238,CNN-411,64.0,0.9,0.999,True,0.0,7.0,4.0,cuda,,5.0,,0.01,0.01,0.01,0.01,9.4513202130097e-05,,,M5(),0.4266318678855896,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.0398487105736519e-05,0.9181926846504211,0.45943111181259155,sweep2
